"Flood","Date","Flow","Ano","Classe","Tracks","TotHumid","ClassesK_Main","ClassesK_1","ClassesK_2","ClassesK_3","ClassesK_4","ClassesK_5"
"680223",1968-02-23,915.8,"1968"," 954.34",64,504.1,5,4,19,9,8,24
"700320",1970-03-20,837.2,"1970"," 954.34",64,410,2,5,19,19,15,6
"720224",1972-02-24,939.4,"1972"," 954.34",64,511,3,20,3,23,18,NA
"740117",1974-01-17,1368.4,"1974","1453.21",64,454.6,3,16,3,24,21,NA
"740312",1974-03-12,1492.8,"1974","1453.21",64,533,2,10,27,9,18,NA
"750108",1975-01-08,864.8,"1975"," 954.34",64,374.5,3,14,13,19,7,11
"750303",1975-03-03,945.3,"1975"," 954.34",64,390.4,3,1,15,20,9,19
"760213",1976-02-13,1222.8,"1976","1217.40",64,465.1,2,23,24,15,2,NA
"760329",1976-03-29,1252.8,"1976","1217.40",64,306.8,4,1,11,19,33,NA
"770114",1977-01-14,963,"1977"," 954.34",64,437.4,1,29,18,13,4,NA
"780112",1978-01-12,1321.6,"1978","1217.40",64,562,1,27,24,13,NA,NA
"780306",1978-03-06,1096.8,"1978","1217.40",64,350.5,2,15,24,1,24,NA
"781231",1978-12-31,1662.8,"1978","1815.78",64,420.5,3,17,1,23,5,18
"800213",1980-02-13,2026.4,"1980","1815.78",64,510.9,1,18,14,13,12,7
"810118",1981-01-18,1672.2,"1981","1815.78",64,520.3,1,24,24,16,NA,NA
"820129",1982-01-29,1484.2,"1982","1453.21",64,483.9,1,25,22,11,6,NA
"820304",1982-03-04,2659,"1982","1815.78",64,507,3,10,8,22,17,7
"830123",1983-01-23,1571.2,"1983","1453.21",64,500.9,3,10,13,19,16,6
"831214",1983-12-14,1051,"1983"," 954.34",64,464.6,2,22,24,14,4,NA
"850111",1985-01-11,1103.6,"1985","1217.40",64,382.7,4,3,9,18,34,NA
"850305",1985-03-05,1450.4,"1985","1453.21",64,410.2,2,20,24,20,NA,NA
"860213",1986-02-13,969.2,"1986"," 954.34",64,388.4,3,18,3,22,21,NA
"870130",1987-01-30,1527.2,"1987","1453.21",64,419.7,3,17,20,27,NA,NA
"870308",1987-03-08,1064,"1987","1217.40",64,461.3,3,12,9,23,6,14
"880105",1988-01-05,1400.6,"1988","1453.21",64,417.8,3,5,17,19,8,15
"880210",1988-02-10,1484.2,"1988","1453.21",64,436.9,1,24,11,12,12,5
"890127",1989-01-27,1384,"1989","1453.21",64,465,2,21,24,15,4,NA
"900201",1990-02-01,987.8,"1990"," 954.34",64,404.1,4,18,11,4,31,NA
"910122",1991-01-22,1252.8,"1991","1217.40",64,525.9,3,14,8,24,16,2
"910228",1991-02-28,1787.5,"1991","1815.78",64,430.1,1,26,1,23,9,5
"920123",1992-01-23,1275.6,"1992","1217.40",64,422.6,5,9,5,21,3,26
"921209",1992-12-09,1598.5,"1992","1815.78",64,491.1,2,17,24,23,NA,NA
"950103",1995-01-03,1384,"1995","1453.21",64,491,1,27,23,14,NA,NA
"950205",1995-02-05,2320.4,"1995","1815.78",64,568.9,1,26,24,14,NA,NA
"960119",1996-01-19,1186.8,"1996","1217.40",64,568.5,2,20,24,20,NA,NA
"960301",1996-03-01,1201.2,"1996","1217.40",64,509.7,4,20,1,20,23,NA
"970102",1997-01-02,1571.3,"1997","1453.21",64,552.4,3,15,4,24,21,NA
"980212",1998-02-12,981,"1998"," 954.34",64,630.2,4,21,6,15,22,NA
"980224",1998-02-24,1240.6,"1998","1217.40",64,583.8,3,14,7,24,19,NA
"981208",1998-12-08,1138.15,"1998","1217.40",64,464,1,27,24,13,NA,NA
"990307",1999-03-07,1331,"1999","1217.40",64,496.5,3,18,4,22,20,NA
"000218",2000-02-18,1575.65,"2000","1815.78",64,465.9,3,8,12,23,13,8
"010226",2001-02-26,984,"2001"," 954.34",64,446.8,3,6,14,24,18,2
"011219",2001-12-19,1398.15,"2001","1453.21",64,502.7,3,6,14,24,19,1
"020220",2002-02-20,1671,"2002","1815.78",64,543,1,28,24,12,NA,NA
"030321",2003-03-21,1459.8,"2003","1453.21",64,530.8,2,5,30,8,20,1
"040205",2004-02-05,1716.5,"2004","1815.78",64,549.9,1,22,1,20,21,NA
"050325",2005-03-25,1036.6,"2005"," 954.34",64,532.4,1,26,1,23,14,NA
"060219",2006-02-19,1582.1,"2006","1815.78",64,468.7,1,28,24,12,NA,NA
"090326",2009-03-26,1226.5,"2009","1217.40",64,571,1,26,24,14,NA,NA
"100211",2010-02-11,1825.4,"2010","1815.78",64,621.2,1,28,2,19,15,NA
"110213",2011-02-13,1614.9,"2011","1815.78",64,543.2,1,24,23,17,NA,NA
"120303",2012-03-03,942,"2012"," 954.34",64,464.8,3,1,18,22,13,10
"130214",2013-02-14,973.7,"2013"," 954.34",64,486.1,3,10,9,24,6,15
